institution_code,institution_abbreviation,institution_name,metric,year,value
H04,DUT,Durban University of Technology,African,2010,19239
H04,DUT,Durban University of Technology,Coloured,2010,425
H04,DUT,Durban University of Technology,Indian,2010,4272
H04,DUT,Durban University of Technology,White,2010,1089
H04,DUT,Durban University of Technology,Other,2010,159
H04,DUT,Durban University of Technology,Total,2010,25184
H04,DUT,Durban University of Technology,African,2011,19334
H04,DUT,Durban University of Technology,Coloured,2011,396
H04,DUT,Durban University of Technology,Indian,2011,4125
H04,DUT,Durban University of Technology,White,2011,962
H04,DUT,Durban University of Technology,Other,2011,23
H04,DUT,Durban University of Technology,Total,2011,24840
H04,DUT,Durban University of Technology,African,2012,19806
H04,DUT,Durban University of Technology,Coloured,2012,379
H04,DUT,Durban University of Technology,Indian,2012,3754
H04,DUT,Durban University of Technology,White,2012,906
H04,DUT,Durban University of Technology,Other,2012,30
H04,DUT,Durban University of Technology,Total,2012,24875
H04,DUT,Durban University of Technology,African,2013,21053
H04,DUT,Durban University of Technology,Coloured,2013,415
H04,DUT,Durban University of Technology,Indian,2013,3732
H04,DUT,Durban University of Technology,White,2013,827
H04,DUT,Durban University of Technology,Other,2013,32
H04,DUT,Durban University of Technology,Total,2013,26059
H04,DUT,Durban University of Technology,African,2014,21325
H04,DUT,Durban University of Technology,Coloured,2014,386
H04,DUT,Durban University of Technology,Indian,2014,3941
H04,DUT,Durban University of Technology,White,2014,765
H04,DUT,Durban University of Technology,Other,2014,55
H04,DUT,Durban University of Technology,Total,2014,26472
H04,DUT,Durban University of Technology,African,2015,21880
H04,DUT,Durban University of Technology,Coloured,2015,384
H04,DUT,Durban University of Technology,Indian,2015,4036
H04,DUT,Durban University of Technology,White,2015,715
H04,DUT,Durban University of Technology,Other,2015,8
H04,DUT,Durban University of Technology,Total,2015,27023
H04,DUT,Durban University of Technology,African,2016,23269
H04,DUT,Durban University of Technology,Coloured,2016,392
H04,DUT,Durban University of Technology,Indian,2016,4042
H04,DUT,Durban University of Technology,White,2016,643
H04,DUT,Durban University of Technology,Other,2016,31
H04,DUT,Durban University of Technology,Total,2016,28377
H05,FH,University of Fort Hare,African,2009,9348
H05,FH,University of Fort Hare,Coloured,2009,206
H05,FH,University of Fort Hare,Indian,2009,61
H05,FH,University of Fort Hare,White,2009,401
H05,FH,University of Fort Hare,Total,2009,10016
H05,FH,University of Fort Hare,African,2010,10068
H05,FH,University of Fort Hare,Coloured,2010,226
H05,FH,University of Fort Hare,Indian,2010,63
H05,FH,University of Fort Hare,White,2010,384
H05,FH,University of Fort Hare,Total,2010,10741
H05,FH,University of Fort Hare,African,2011,10516
H05,FH,University of Fort Hare,Coloured,2011,211
H05,FH,University of Fort Hare,Indian,2011,58
H05,FH,University of Fort Hare,White,2011,359
H05,FH,University of Fort Hare,Total,2011,11144
H05,FH,University of Fort Hare,African,2012,11440
H05,FH,University of Fort Hare,Coloured,2012,220
H05,FH,University of Fort Hare,Indian,2012,54
H05,FH,University of Fort Hare,White,2012,330
H05,FH,University of Fort Hare,Total,2012,12044
H05,FH,University of Fort Hare,African,2013,11714
H05,FH,University of Fort Hare,Coloured,2013,229
H05,FH,University of Fort Hare,Indian,2013,45
H05,FH,University of Fort Hare,White,2013,327
H05,FH,University of Fort Hare,Total,2013,12315
H05,FH,University of Fort Hare,African,2014,12488
H05,FH,University of Fort Hare,Coloured,2014,236
H05,FH,University of Fort Hare,Indian,2014,46
H05,FH,University of Fort Hare,White,2014,293
H05,FH,University of Fort Hare,Total,2014,13063
H05,FH,University of Fort Hare,African,2015,12937
H05,FH,University of Fort Hare,Coloured,2015,240
H05,FH,University of Fort Hare,Indian,2015,34
H05,FH,University of Fort Hare,White,2015,247
H05,FH,University of Fort Hare,Total,2015,13458
H05,FH,University of Fort Hare,African,2016,13324
H05,FH,University of Fort Hare,Coloured,2016,259
H05,FH,University of Fort Hare,Indian,2016,30
H05,FH,University of Fort Hare,White,2016,213
H05,FH,University of Fort Hare,Other,2016,5
H05,FH,University of Fort Hare,Total,2016,13831
H06,FS,University of Free State,African,2009,15840
H06,FS,University of Free State,Coloured,2009,1536
H06,FS,University of Free State,Indian,2009,493
H06,FS,University of Free State,White,2009,9372
